Vehicle Model,Battery Capacity (kWh),Charging Station Location,Energy Consumed (kWh),Charging Rate (kW),Charging Time Difference (minutes),Time of Day,Day of Week,State of Charge (Start %),State of Charge (End %),Distance Driven (since last charge) (km),Temperature (°C),Vehicle Age (years),Charger Type,User Type,Energy per 100 km (kWh/100 km),Charging Cost (USD),Long Session
Chevy Bolt,81.38346876,San Francisco,16.64331636,39.85196542,162,Morning,Friday,0.996735993,21.4472238,84.8804761,33.52653014,6,Level 2,Casual Driver,19.60794416,4.160829089,Normal
Tesla Model 3,91.99334438,San Francisco,39.3581168,88.00935746,86,Morning,Friday,68.83561985,100,109.5552382,11.98565867,4,Level 1,Commuter,35.9253628,5.116555184,Normal
Tesla Model 3,41.48708014,Chicago,64.73496303,22.61856007,133,Morning,Friday,38.34984035,100,137.6483643,23.18095704,5,Level 2,Commuter,47.02922798,16.18374076,Normal
Nissan Leaf,60.9448973,San Francisco,37.28770715,52.57485357,247,Morning,Monday,67.12189706,100,135.102951,2.958675263,4,Level 2,Long-Distance Traveler,27.59947645,9.321926788,Normal
Hyundai Kona,57.02704261,Houston,6.172100421,8.999728236,255,Night,Friday,25.55497237,36.37808389,161.7969165,24.64490749,3,DC Fast Charger,Casual Driver,3.814720672,2.468840169,Normal
Nissan Leaf,69.20837083,Houston,10.05883907,9.889935385,224,Evening,Friday,78.57668803,93.1108245,109.7198505,26.52388885,2,Level 1,Long-Distance Traveler,9.167747699,1.307649079,Long Session
Chevy Bolt,78.25038601,Chicago,25.63959866,38.53411971,111,Morning,Friday,30.69000068,63.45609931,120.7061629,20.31520642,3,Level 2,Commuter,21.24133353,6.409899664,Long Session
Hyundai Kona,64.44753265,Houston,88.22803492,38.68864179,136,Night,Thursday,69.65755362,100,210.8885078,18.31271989,3,DC Fast Charger,Commuter,41.83634085,35.29121397,Normal
Hyundai Kona,84.07143141,New York,16.08734185,28.96782927,85,Evening,Tuesday,27.8746174,47.00994266,160.8177699,15.30141509,4,DC Fast Charger,Long-Distance Traveler,10.00346035,6.434936741,Long Session
Tesla Model 3,82.03429504,New York,39.86801558,8.220684633,266,Morning,Wednesday,51.76630036,100,160.7949756,14.01437309,6,Level 1,Long-Distance Traveler,24.79431676,5.182842026,Long Session
BMW i3,66.5817693,Chicago,48.25742386,22.39666699,150,Evening,Monday,64.93114033,100,54.12791591,-4.306024421,4,Level 1,Casual Driver,89.1544096,6.273465102,Normal
Nissan Leaf,82.28003641,Los Angeles,37.3115811,57.88076622,142,Morning,Friday,20.91179939,66.25886378,193.8839922,31.05720733,2,Level 1,Commuter,19.24428142,4.850505542,Normal
BMW i3,53.74434534,Houston,2.895401813,37.96370786,144,Morning,Friday,82.84809355,88.23545439,70.59684702,14.62431596,6,DC Fast Charger,Long-Distance Traveler,4.101318877,1.158160725,Normal
Nissan Leaf,74.55250018,New York,55.08146337,6.277760668,95,Evening,Friday,68.35473457,100,304.9240418,33.33968946,7,Level 2,Commuter,18.06399491,13.77036584,Normal
Hyundai Kona,117.5782204,New York,19.02890783,7.00851752,136,Evening,Monday,52.9947172,69.17875856,77.86242554,20.38722666,2,Level 1,Commuter,24.43914083,2.473758018,Long Session
Chevy Bolt,55.78003832,New York,61.46127611,23.60101988,92,Afternoon,Wednesday,62.99987495,100,155.2286441,-9.23405132,1,Level 1,Casual Driver,39.59403013,7.989965894,Normal
Nissan Leaf,77.37725186,New York,19.56768557,26.53738213,82,Morning,Friday,53.21769531,78.50637525,140.4003223,20.4660803,5,DC Fast Charger,Casual Driver,13.937066,7.82707423,Normal
Nissan Leaf,90.30197025,San Francisco,55.81812371,24.33810479,88,Night,Tuesday,51.34542726,100,195.1323843,28.92294087,3,DC Fast Charger,Long-Distance Traveler,28.60525888,22.32724948,Normal
Nissan Leaf,68.01670699,Houston,32.85260309,41.8810099,106,Evening,Tuesday,28.423207,76.72399153,244.747811,22.38793345,7,Level 2,Commuter,13.42304267,8.213150772,Normal
BMW i3,71.52115887,Chicago,23.89752139,39.91940307,190,Morning,Tuesday,41.74513847,75.15835739,58.36004901,30.47484671,4,DC Fast Charger,Long-Distance Traveler,40.94842584,9.559008554,Long Session
Nissan Leaf,81.9288289,Houston,17.71321289,24.55226261,159,Night,Sunday,57.7087499,79.32899412,166.8639225,27.12036709,8,DC Fast Charger,Commuter,10.61536408,7.085285156,Normal
Tesla Model 3,65.52932643,San Francisco,23.48876785,26.16503891,133,Evening,Sunday,27.17576765,63.02043314,101.897835,42.18976181,1,DC Fast Charger,Commuter,23.05129237,9.395507142,Normal
Nissan Leaf,79.77613437,Chicago,38.15616111,41.39472,121,Night,Wednesday,39.79059063,87.619633,212.6242513,21.26371488,1,Level 2,Casual Driver,17.94534766,9.539040277,Normal
Hyundai Kona,98.62338884,Chicago,42.6546479,1.652070271,164,Night,Thursday,56.36377189,99.61380457,209.1422667,-18.34466245,3,Level 1,Casual Driver,20.3950395,5.545104228,Long Session
Chevy Bolt,85.92228124,Houston,38.38983918,9.699018768,53,Afternoon,Tuesday,72.43482515,100,88.92562293,-4.261640078,5,DC Fast Charger,Commuter,43.17072843,15.35593567,Normal
Nissan Leaf,60.04746657,Houston,5.992315984,42.38812202,91,Evening,Tuesday,58.47085784,68.45015642,104.094239,-3.270509994,1,Level 1,Casual Driver,5.756625956,0.779001078,Normal
Nissan Leaf,63.88826856,Los Angeles,22.43671111,62.18013011,132,Afternoon,Wednesday,40.67454566,75.79321708,25.19515916,8.912391709,0,Level 1,Casual Driver,89.05167443,2.916772444,Normal
Hyundai Kona,59.54249051,San Francisco,65.45564664,22.87417581,111,Evening,Tuesday,56.2512791,100,33.84084561,29.02645748,2,Level 2,Commuter,193.4220185,16.36391166,Normal
Nissan Leaf,67.10363814,San Francisco,52.7800644,24.28979197,139,Evening,Thursday,19.06855118,97.72310086,209.6332256,4.750257264,6,DC Fast Charger,Casual Driver,25.17733735,21.11202576,Normal
BMW i3,104.1252514,Houston,15.0391763,76.35346814,188,Evening,Sunday,3.28253963,17.72589137,138.2891397,16.40558339,2,Level 1,Long-Distance Traveler,10.87516803,1.95509292,Normal
BMW i3,90.80942121,New York,15.91441545,22.24906292,48,Afternoon,Saturday,93.17983783,100,205.7712777,34.9822319,10,Level 2,Long-Distance Traveler,7.734031507,3.978603862,Normal
Tesla Model 3,73.37695581,San Francisco,18.3644248,23.82030941,179,Morning,Friday,57.70642388,82.73393367,190.9298501,28.14011168,5,Level 2,Casual Driver,9.618414719,4.591106201,Normal
Nissan Leaf,53.75461379,New York,15.33598655,24.29267453,156,Morning,Saturday,62.28368837,90.81330745,63.69627244,39.66570645,2,Level 2,Commuter,24.07674101,3.833996638,Normal
Nissan Leaf,31.45525784,Los Angeles,14.230287,20.26945967,108,Evening,Saturday,12.94718772,58.18695994,36.07162011,21.54150775,6,Level 1,Commuter,39.4500911,1.84993731,Normal
BMW i3,120.3483559,San Francisco,5.362600749,25.00989142,103,Morning,Wednesday,75.30165786,79.75755649,237.001841,-9.506948547,3,DC Fast Charger,Commuter,2.262683161,2.1450403,Long Session
Nissan Leaf,60.80694452,San Francisco,34.63990636,17.25851156,147,Night,Friday,54.27158446,100,112.537845,20.69697382,2,Level 2,Commuter,30.78067325,8.659976589,Long Session
BMW i3,62.86133636,Houston,13.97518761,25.38982607,114,Night,Friday,36.04386876,58.2756386,34.6784965,8.704532819,5,Level 1,Commuter,40.29928925,1.81677439,Normal
Hyundai Kona,56.97449549,San Francisco,32.85963767,23.22614233,170,Night,Friday,19.2147677,76.88906106,236.2447175,21.55304363,3,Level 1,Long-Distance Traveler,13.90915235,4.271752897,Normal
Hyundai Kona,73.04362503,San Francisco,42.97166912,23.66350978,104,Morning,Wednesday,46.24096009,100,53.22448206,5.142658414,7,Level 2,Casual Driver,80.73666,10.74291728,Long Session
Chevy Bolt,56.67432532,Los Angeles,37.85834146,41.3220595,160,Morning,Sunday,17.67404583,84.47385554,178.5983148,-3.246360626,1,Level 2,Commuter,21.19747966,9.464585365,Normal
Tesla Model 3,143.3821198,San Francisco,23.70261999,9.491334075,173,Afternoon,Monday,40.26642137,56.79750629,201.6957776,-15.00188004,1,Level 1,Commuter,11.75166891,3.081340599,Long Session
Hyundai Kona,39.01938446,Houston,20.3460826,26.397474,56,Morning,Tuesday,57.77268465,100,88.25242941,34.53627393,3,Level 1,Casual Driver,23.05441645,2.644990739,Normal
Tesla Model 3,66.21843194,Chicago,29.66364189,23.51829906,36,Morning,Monday,35.97086382,80.7675179,153.1420851,23.1527483,8,Level 2,Commuter,19.37001306,7.415910472,Normal
BMW i3,122.5445499,San Francisco,47.4650341,5.473741219,93,Morning,Wednesday,41.1832485,79.91612902,31.71373695,32.06903031,2,Level 2,Commuter,149.6671117,11.86625852,Normal
BMW i3,77.05756171,Houston,37.26219406,9.901090832,177,Afternoon,Tuesday,15.0064905,63.36280133,157.341436,21.28612805,5,Level 2,Casual Driver,23.68237828,9.315548514,Long Session
Chevy Bolt,26.74457733,Chicago,90.88143711,10.16474125,6,Afternoon,Tuesday,46.50993883,100,212.0497322,-2.925422793,2,Level 2,Commuter,42.8585484,22.72035928,Normal
Hyundai Kona,74.90167873,Houston,78.85315836,38.30852208,135,Afternoon,Friday,14.40666097,100,221.3813931,41.19041575,0,DC Fast Charger,Casual Driver,35.61869282,31.54126335,Long Session
Tesla Model 3,92.88935508,New York,28.10993667,22.24505764,135,Afternoon,Sunday,32.80606355,63.06780522,115.0317513,35.36183613,2,Level 1,Commuter,24.43667626,3.654291767,Normal
Nissan Leaf,93.36948253,New York,22.81995729,45.23672102,84,Night,Tuesday,18.26831644,42.70880456,53.54816056,0.548829487,4,Level 2,Casual Driver,42.61576317,5.704989322,Normal
Tesla Model 3,67.72431315,New York,31.28479354,41.41289647,0,Evening,Sunday,25.77102981,71.96536104,89.15575833,11.66155608,2,Level 2,Casual Driver,35.09004256,7.821198385,Normal
Nissan Leaf,70.04558599,Chicago,39.30519202,28.56116635,94,Morning,Friday,34.18297809,90.29670955,82.08880775,-3.5886243,4,DC Fast Charger,Casual Driver,47.88130452,15.72207681,Normal
Chevy Bolt,59.4597995,Los Angeles,22.795403,22.98391264,89,Afternoon,Thursday,37.61777339,75.95527737,26.42367051,-2.722738894,3,Level 2,Commuter,86.26887392,5.698850749,Normal
BMW i3,92.1593399,San Francisco,46.16262893,64.61795838,140,Morning,Friday,78.03580256,100,85.5127289,20.66765476,4,Level 2,Commuter,53.98334204,11.54065723,Normal
Chevy Bolt,73.02635265,San Francisco,39.17594755,25.70336098,88,Afternoon,Wednesday,57.45256894,100,195.6138775,6.315556736,7,DC Fast Charger,Long-Distance Traveler,20.02718215,15.67037902,Normal
Tesla Model 3,60.33222424,Chicago,45.47756067,25.95609504,121,Night,Friday,61.17917954,100,234.3407893,0.614050814,2,DC Fast Charger,Casual Driver,19.40659192,18.19102427,Normal
Hyundai Kona,52.31033528,Chicago,53.61391779,49.89438385,197,Night,Tuesday,46.08376294,100,312.8771835,-1.368112998,6,Level 2,Commuter,17.13577103,13.40347945,Normal
Nissan Leaf,99.3025892,San Francisco,77.78437278,30.09898871,104,Evening,Sunday,37.77875176,100,113.8934929,11.92051933,3,DC Fast Charger,Long-Distance Traveler,68.29571275,31.11374911,Normal
Chevy Bolt,92.5397348,Chicago,54.54015226,19.2757867,190,Afternoon,Saturday,16.34914608,75.28615555,111.8818967,9.39372862,4,Level 2,Commuter,48.74796896,13.63503807,Long Session
Nissan Leaf,78.29981583,Los Angeles,5.391115133,25.1665234,6,Morning,Friday,60.87736206,67.76258277,23.09996768,1.756052125,3,Level 1,Commuter,23.3381934,0.700844967,Normal
Tesla Model 3,60.27769032,San Francisco,1.724157992,22.76814932,86,Morning,Sunday,16.15993237,19.02029079,288.5502626,24.37359176,0,Level 2,Long-Distance Traveler,0.597524319,0.431039498,Normal
Hyundai Kona,72.34531547,Houston,59.01579524,17.82752926,89,Morning,Wednesday,55.67284869,100,29.2712039,7.201929059,0,Level 2,Long-Distance Traveler,201.6172462,14.75394881,Long Session
Tesla Model 3,79.00146798,Chicago,40.91622886,37.74499222,167,Night,Friday,47.22190976,99.01364213,276.3082783,10.13760482,1,Level 1,Casual Driver,14.8081806,5.319109751,Long Session
BMW i3,71.39947307,New York,7.364191061,41.51380394,225,Evening,Wednesday,39.96402633,50.27809553,63.92054204,26.60661179,4,Level 1,Long-Distance Traveler,11.52085202,0.957344838,Long Session
BMW i3,34.44688048,Los Angeles,13.04517892,20.37775974,146,Morning,Friday,68.41193088,100,28.73999539,13.58012724,6,Level 1,Casual Driver,45.39033058,1.695873259,Normal
Tesla Model 3,101.9014855,San Francisco,33.88180211,40.89818101,142,Morning,Saturday,23.22342603,56.47299246,69.25006027,25.81027847,3,DC Fast Charger,Casual Driver,48.92674747,13.55272084,Long Session
BMW i3,67.19840307,Chicago,51.10338821,21.58659555,156,Morning,Thursday,45.81501809,100,168.109313,18.63084945,6,DC Fast Charger,Long-Distance Traveler,30.39890372,20.44135528,Normal
Hyundai Kona,119.9389261,Chicago,12.43871504,25.38509822,101,Afternoon,Friday,24.11698576,34.48785988,306.3473738,19.68551638,2,Level 1,Long-Distance Traveler,4.060330234,1.617032955,Long Session
BMW i3,63.18243563,Los Angeles,26.20515546,29.62122509,210,Evening,Tuesday,59.64705003,100,21.9052122,18.969391,4,Level 1,Commuter,119.6297723,3.40667021,Long Session
Hyundai Kona,63.02544221,Chicago,22.17278728,50.10320642,199,Night,Sunday,10.46101904,45.64171196,246.6257878,7.985232078,1,Level 1,Commuter,8.990457762,2.882462346,Normal
Nissan Leaf,58.5011097,Houston,28.26377598,19.56950159,131,Morning,Sunday,53.4629421,100,90.28531046,32.93309289,7,Level 1,Long-Distance Traveler,31.30495518,3.674290877,Long Session
Chevy Bolt,52.31599079,San Francisco,2.434572858,37.77446114,226,Night,Tuesday,66.31963332,70.97322551,78.10616121,34.98834394,4,Level 1,Casual Driver,3.117004882,0.316494472,Normal
Nissan Leaf,133.0677185,Houston,96.64716146,66.30273112,148,Morning,Tuesday,18.54165916,91.17171742,25.84046763,4.627082935,6,Level 1,Casual Driver,374.0147541,12.56413099,Normal
Tesla Model 3,61.23406873,Chicago,52.56277894,20.82380835,96,Night,Sunday,28.58315006,100,195.1889039,25.30191209,7,Level 1,Commuter,26.92918393,6.833161262,Normal
Nissan Leaf,104.0855767,Houston,43.07960898,18.19241728,181,Morning,Monday,75.35764883,100,122.5968256,33.21998398,4,Level 1,Long-Distance Traveler,35.1392532,5.600349167,Long Session
Chevy Bolt,43.54869997,Chicago,48.74588052,39.18465402,290,Afternoon,Tuesday,56.76866901,100,156.2462193,41.12588306,4,DC Fast Charger,Commuter,31.19811842,19.49835221,Normal
Hyundai Kona,77.99283905,New York,26.09885448,18.24688996,159,Night,Sunday,63.18109946,96.64424146,127.4714018,48.53989281,3,Level 1,Casual Driver,20.47428217,3.392851083,Long Session
BMW i3,83.81713607,Los Angeles,5.669481313,18.65619645,174,Afternoon,Wednesday,4.516570055,11.2806777,162.7297887,30.31392695,0,Level 2,Long-Distance Traveler,3.483984929,1.417370328,Long Session
Hyundai Kona,75.69390419,San Francisco,39.19353329,25.23335988,136,Afternoon,Sunday,38.34856613,90.12754847,188.4602739,17.35688101,0,Level 1,Casual Driver,20.79670823,5.095159327,Normal
Tesla Model 3,40.52486056,Los Angeles,68.24293984,3.24322591,16,Night,Friday,60.53680721,100,36.47682031,-9.80686994,3,Level 1,Long-Distance Traveler,187.0857692,8.87158218,Normal
BMW i3,59.02423136,Chicago,42.24393101,46.17227597,89,Night,Sunday,44.5570277,100,178.7740267,0.915177997,3,DC Fast Charger,Casual Driver,23.6297922,16.8975724,Normal
BMW i3,74.0735724,New York,39.28130229,38.86515598,86,Afternoon,Saturday,27.15027898,80.18039622,223.0012495,30.51111939,2,Level 2,Commuter,17.61483506,9.820325571,Normal
Hyundai Kona,65.67340376,Houston,54.0254451,29.42804492,104,Evening,Friday,32.83468467,100,31.16261113,9.918850958,4,Level 2,Commuter,173.3662333,13.50636128,Long Session
Chevy Bolt,70.0776669,San Francisco,55.28523802,30.57285614,136,Night,Wednesday,27.77811404,100,231.2338964,26.85817257,2,Level 2,Long-Distance Traveler,23.9087949,13.8213095,Normal
Chevy Bolt,98.41055703,Chicago,65.99008249,8.471422162,175,Morning,Sunday,59.7250019,100,9.432982571,47.67770787,4,Level 2,Commuter,699.5675228,16.49752062,Long Session
Chevy Bolt,58.79311995,San Francisco,26.83551912,1.741191685,149,Morning,Friday,74.01854901,100,97.26939031,17.33234732,4,Level 2,Commuter,27.58886329,6.70887978,Normal
Chevy Bolt,94.23695993,New York,43.68807785,29.09374123,96,Morning,Sunday,58.40018824,100,70.07413087,-4.684295564,1,Level 1,Casual Driver,62.3455151,5.67945012,Normal
Tesla Model 3,46.00461496,San Francisco,5.894087334,45.78321228,114,Evening,Monday,9.440674613,22.25262258,3.243349514,3.086358924,1,Level 1,Commuter,181.7284048,0.766231353,Normal
BMW i3,62.79140099,New York,29.75716694,17.92587503,167,Evening,Monday,41.1710107,88.56152353,3.55324943,11.65815287,5,DC Fast Charger,Casual Driver,837.4634972,11.90286678,Long Session
Chevy Bolt,33.04818051,Los Angeles,32.8121503,21.81237131,168,Afternoon,Tuesday,39.81577509,100,128.298795,34.84044741,3,Level 2,Casual Driver,25.57479226,8.203037574,Normal
Hyundai Kona,71.02393362,San Francisco,12.85400366,46.1402058,45,Afternoon,Friday,70.48110311,88.57923285,190.0776121,4.545356269,4,DC Fast Charger,Commuter,6.762502702,5.141601462,Normal
Chevy Bolt,94.53171433,Los Angeles,56.49377652,18.18943557,24,Afternoon,Thursday,69.21063456,100,207.8755227,24.61560081,4,Level 2,Commuter,27.17673336,14.12344413,Normal
BMW i3,59.29252041,San Francisco,20.50102568,38.49166577,132,Morning,Wednesday,50.75113351,85.32720743,19.84789519,28.55204325,5,Level 1,Commuter,103.2906789,2.665133339,Normal
BMW i3,120.6867573,Houston,28.23919011,45.77647224,174,Morning,Monday,38.44646281,61.84521071,200.3848502,10.54373994,6,Level 1,Commuter,14.09247759,3.671094714,Normal
Nissan Leaf,66.29486746,Los Angeles,28.34668672,0.349771261,85,Afternoon,Wednesday,72.462901,100,177.1208465,-16.86945237,5,Level 1,Casual Driver,16.00415043,3.685069274,Long Session
Chevy Bolt,83.8373281,Chicago,63.74642421,41.15182346,148,Afternoon,Tuesday,57.56494407,100,30.6710527,13.91512182,6,Level 2,Casual Driver,207.8390489,15.93660605,Long Session
Nissan Leaf,98.30783074,Houston,62.25584794,31.72182403,119,Afternoon,Sunday,24.58873629,87.91619196,41.69726654,12.09306779,3,Level 1,Long-Distance Traveler,149.3043864,8.093260232,Normal
Chevy Bolt,57.22472623,San Francisco,1.080694023,5.132014211,146,Evening,Tuesday,97.55272448,99.44123334,175.9889486,37.95099171,6,Level 2,Commuter,0.614069253,0.270173506,Normal
Tesla Model 3,113.2658948,San Francisco,30.78007632,2.128506656,276,Morning,Saturday,26.69383629,53.86889758,133.9562125,-9.778945853,3,DC Fast Charger,Commuter,22.9777147,12.31203053,Long Session
Hyundai Kona,80.12981432,San Francisco,82.09229532,51.40253158,178,Evening,Friday,42.86072783,100,160.5352495,28.1952111,7,Level 2,Commuter,51.13661677,20.52307383,Normal
BMW i3,51.57041926,Los Angeles,26.60545917,18.32615001,139,Night,Monday,32.57037914,84.16092184,93.59811108,12.17622324,4,Level 1,Commuter,28.42520951,3.458709692,Normal
BMW i3,108.7652576,New York,14.88467674,31.92628312,113,Afternoon,Saturday,18.85041883,32.53555788,226.6766808,9.841154491,1,Level 1,Commuter,6.566479046,1.935007977,Normal
Chevy Bolt,77.44468559,San Francisco,5.917914998,22.11305518,87,Evening,Tuesday,59.77125042,67.41272375,263.1782192,19.9006352,2,DC Fast Charger,Casual Driver,2.248634031,2.367165999,Normal
Nissan Leaf,83.52477481,New York,16.08178423,20.63544717,218,Afternoon,Wednesday,100.7223877,100,147.7810734,0.213816458,5,DC Fast Charger,Commuter,10.8821677,6.432713693,Long Session
Chevy Bolt,77.0830126,San Francisco,38.71774634,30.11938336,180,Evening,Sunday,91.33191749,100,124.4259824,13.29452559,7,DC Fast Charger,Long-Distance Traveler,31.11709113,15.48709854,Normal
Nissan Leaf,61.34990967,New York,55.75654923,40.51763488,135,Night,Monday,35.01581159,100,59.94108822,41.84729658,7,Level 1,Casual Driver,93.01891388,7.2483514,Normal
Hyundai Kona,54.62463002,San Francisco,1.264352084,17.84597362,89,Night,Friday,59.91595022,62.23056925,100.4455537,23.53636505,4,Level 1,Casual Driver,1.258743705,0.164365771,Normal
Tesla Model 3,69.06971542,Chicago,89.33215273,9.282569091,57,Afternoon,Friday,49.82441442,100,123.1336767,29.39157545,6,Level 2,Casual Driver,72.54892011,22.33303818,Normal
Tesla Model 3,74.54461017,New York,35.07176018,31.70804595,67,Afternoon,Monday,58.84625782,100,106.234913,9.336906266,4,Level 2,Commuter,33.01340322,8.767940046,Normal
Nissan Leaf,86.26686811,San Francisco,59.4676921,76.88373235,163,Afternoon,Wednesday,32.67303978,100,64.45620892,24.26637645,4,Level 1,Commuter,92.26061088,7.730799973,Normal
BMW i3,81.23197533,San Francisco,45.76156952,23.89526783,31,Morning,Tuesday,67.56861379,100,281.8512239,25.42098108,3,Level 1,Commuter,16.23607266,5.949004037,Normal
Hyundai Kona,96.78485942,New York,15.85118029,28.39064874,169,Night,Saturday,63.41883152,79.79657943,26.0337394,3.954642647,2,Level 1,Commuter,60.88706677,2.060653438,Long Session
Tesla Model 3,79.31176521,San Francisco,83.98868699,23.14215688,234,Evening,Monday,38.3100117,100,128.8205993,14.44443431,4,DC Fast Charger,Casual Driver,65.19818061,33.5954748,Long Session
BMW i3,52.71635949,New York,42.59840723,53.64572242,209,Afternoon,Saturday,71.35756565,100,185.1735546,-12.26872464,5,Level 2,Long-Distance Traveler,23.00458471,10.64960181,Normal
BMW i3,81.90101052,San Francisco,48.61191272,41.0599158,33,Morning,Thursday,90.56674957,100,180.7167622,39.42630434,6,DC Fast Charger,Long-Distance Traveler,26.89950403,19.44476509,Normal
Chevy Bolt,71.73473849,New York,67.05746432,22.73704656,189,Evening,Sunday,68.57704256,100,16.30670635,31.74444152,8,DC Fast Charger,Commuter,411.2262947,26.82298573,Long Session
Chevy Bolt,39.43775491,Houston,31.81775746,26.5922764,33,Morning,Saturday,52.71265082,100,137.9736441,27.56734433,2,DC Fast Charger,Casual Driver,23.06075023,12.72710298,Normal
Hyundai Kona,84.79708937,San Francisco,28.71710674,18.61455724,192,Night,Friday,60.30763163,94.17330668,113.7929324,24.62028695,0,Level 1,Long-Distance Traveler,25.23628326,3.733223876,Long Session
Nissan Leaf,92.57700341,New York,69.59599371,37.51932216,68,Evening,Saturday,58.9836696,100,43.65628542,41.01652226,3,Level 2,Long-Distance Traveler,159.4180381,17.39899843,Normal
Hyundai Kona,88.25611824,Chicago,14.46634522,26.80574039,102,Afternoon,Sunday,24.04163184,40.43295462,187.5678397,33.71976398,3,Level 2,Commuter,7.71259361,3.616586304,Long Session
Tesla Model 3,34.95157623,New York,9.45596066,23.97658091,224,Afternoon,Saturday,18.62058606,45.67504735,194.5388339,-4.596345472,9,Level 2,Commuter,4.860705943,2.363990165,Long Session
Chevy Bolt,63.47794246,San Francisco,36.83820659,50.66398581,93,Evening,Tuesday,54.62451989,100,140.9088685,21.2064377,6,Level 1,Casual Driver,26.14328464,4.788966856,Normal
Chevy Bolt,34.77185624,Houston,85.77195983,43.91002732,170,Evening,Friday,79.06931678,100,126.5239194,29.0864773,4,Level 2,Casual Driver,67.79110245,21.44298996,Normal
Nissan Leaf,73.08752428,Los Angeles,59.23818619,6.102275288,87,Night,Thursday,38.22845601,100,199.5247403,-5.366135524,3,Level 2,Long-Distance Traveler,29.68964455,14.80954655,Long Session
Hyundai Kona,57.36559406,San Francisco,28.18949304,27.64780777,85,Night,Friday,60.94873621,100,41.27781654,24.02221395,1,DC Fast Charger,Commuter,68.2921128,11.27579721,Normal
Tesla Model 3,56.89366834,San Francisco,27.69919376,0.90513455,110,Night,Tuesday,32.29346344,80.97936219,120.9631016,1.845606694,5,DC Fast Charger,Commuter,22.89887858,11.07967751,Long Session
Tesla Model 3,38.42014079,Chicago,24.09454995,24.98707561,146,Morning,Friday,28.50025271,91.21358342,137.9540831,44.26258874,2,Level 2,Commuter,17.46563016,6.023637487,Normal
Hyundai Kona,62.19563546,Houston,30.71142277,44.37035532,79,Night,Friday,12.36779734,61.74653998,63.00615602,22.43793921,6,Level 2,Commuter,48.74352715,7.677855692,Normal
Hyundai Kona,71.05282624,Houston,2.528327914,8.288046642,257,Night,Wednesday,5.420358914,8.9787366,195.3546804,-13.67514995,4,DC Fast Charger,Long-Distance Traveler,1.294224387,1.011331166,Long Session
Nissan Leaf,63.34265147,Houston,30.07778798,31.33684067,199,Afternoon,Monday,51.62576347,99.11002136,46.75006269,26.17826947,3,DC Fast Charger,Commuter,64.33742812,12.03111519,Normal
Hyundai Kona,79.59785776,New York,62.74627209,40.67093356,205,Morning,Wednesday,26.3769994,100,242.6218815,-1.66840214,5,DC Fast Charger,Commuter,25.86175316,25.09850883,Normal
Tesla Model 3,76.98152361,San Francisco,44.20295298,40.94295725,168,Night,Tuesday,30.2672315,87.68744211,156.779219,5.22307321,6,Level 1,Casual Driver,28.19439545,5.746383888,Long Session
Tesla Model 3,62.33992119,New York,3.873883585,27.50789913,190,Morning,Sunday,18.4532158,24.66734555,267.0299643,-4.366511877,7,DC Fast Charger,Commuter,1.450729919,1.549553434,Long Session
Chevy Bolt,56.46150827,New York,73.64968094,37.53105993,137,Afternoon,Tuesday,43.12511802,100,120.7972377,8.76549101,0,Level 2,Long-Distance Traveler,60.96967307,18.41242023,Normal
Chevy Bolt,55.79243004,New York,37.76911667,39.2196355,156,Morning,Tuesday,80.20657646,100,97.79160181,11.73705844,7,DC Fast Charger,Long-Distance Traveler,38.62204522,15.10764667,Normal
Tesla Model 3,75.33704331,San Francisco,24.87882037,50.06969471,195,Morning,Thursday,23.58854976,56.61190624,92.19233152,44.94671652,2,Level 1,Casual Driver,26.98578067,3.234246649,Normal
Chevy Bolt,69.24114577,New York,65.17383135,40.31552208,192,Morning,Wednesday,39.61022349,100,118.7300787,6.401322441,5,DC Fast Charger,Commuter,54.89243505,26.06953254,Normal
BMW i3,104.3476877,Houston,74.80978833,23.8495052,63,Afternoon,Sunday,23.3622957,95.05510458,238.3089861,-4.956024131,1,Level 1,Long-Distance Traveler,31.39192926,9.725272483,Normal
Hyundai Kona,84.16750017,Los Angeles,51.97503686,39.00373141,7,Night,Wednesday,24.77068257,86.52259008,196.1172874,8.197229458,1,Level 1,Commuter,26.50201701,6.756754792,Normal
Chevy Bolt,80.78441504,Los Angeles,32.91675256,1.018490091,163,Night,Saturday,71.93637345,100,316.325897,18.47873884,0,Level 1,Casual Driver,10.40596198,4.279177832,Long Session
Nissan Leaf,50.26055761,San Francisco,24.39845793,26.11424951,98,Morning,Saturday,80.40574764,100,111.1516215,24.09104115,2,DC Fast Charger,Commuter,21.95060909,9.759383173,Normal
Chevy Bolt,83.90094835,Houston,59.35416277,22.90932248,204,Evening,Saturday,56.11599818,100,148.8701791,32.51919616,4,DC Fast Charger,Long-Distance Traveler,39.86974632,23.74166511,Long Session
BMW i3,103.1267037,Los Angeles,43.16224818,38.30166772,105,Afternoon,Monday,56.31046064,98.16407044,73.48596067,2.827101961,3,Level 2,Long-Distance Traveler,58.7353663,10.79056204,Long Session
Tesla Model 3,70.35694763,Chicago,49.97583782,4.425687631,94,Morning,Wednesday,71.40840953,100,125.0284415,6.510850317,4,Level 2,Commuter,39.97157544,12.49395946,Normal
